date,topic,cluster_compound,n_sentences
2025-01-29,39,0.6566782210102247,2
2025-01-29,41,-0.0005092922056064708,2
2025-01-29,43,-0.017864093533626148,5
2025-01-29,44,-0.001662075071436675,2
2025-01-29,45,0.4999900320653978,2
2025-01-29,47,0.12894387150299735,2
2025-01-29,48,-0.0070064996456338235,4
2025-01-29,49,-0.04539933303692578,4
2025-01-29,50,-6.6163595917601015e-06,1
2025-01-29,51,-0.26073996592216037,3
2025-03-19,0,-0.1334176715456679,17
2025-03-19,1,0.17760424299803568,9
2025-03-19,2,0.11985156668715685,9
2025-03-19,3,-0.00020906582153656927,6
2025-03-19,4,-0.38116008691940806,6
2025-03-19,5,-0.005656401081068907,1
2025-03-19,6,0.3994553050142258,5
2025-03-19,7,0.1873797331441509,8
2025-03-19,8,-0.0026006698526543914,1
2025-03-19,9,-0.0014518693506033742,1
2025-03-19,10,0.1302811581970178,2
2025-03-19,11,-3.340271985052823e-05,1
2025-03-19,12,-0.0007971711899088518,4
2025-03-19,14,0.9982571981672663,1
2025-03-19,15,-4.163227276876569e-05,2
2025-03-19,16,-0.00040081305758121744,1
2025-03-19,17,-0.0017502321643405594,1
2025-03-19,18,-0.06982026510619477,4
2025-03-19,19,-0.005590287270024419,1
2025-03-19,20,-0.13775661334211367,7
2025-03-19,21,-0.1354050756802773,6
2025-03-19,22,-2.5270530272791802e-06,1
2025-03-19,23,-0.0002954253642108995,2
2025-03-19,25,-0.28800584695727593,2
2025-03-19,26,-0.2254328470071035,9
2025-03-19,27,0.49441842691339843,2
2025-03-19,28,-0.31359720452798,3
2025-03-19,29,-0.9953880299170427,3
2025-03-19,32,-1.9500067253375164e-05,1
2025-03-19,33,-0.38420731067162706,2
2025-03-19,34,-0.26694142557555267,3
2025-03-19,35,0.20056301231951465,5
2025-03-19,36,0.009052095701918006,1
2025-03-19,37,-0.1377039182849753,10
2025-03-19,38,-0.1072428722497231,3
2025-03-19,39,0.2917824766133789,7
2025-03-19,40,0.009715261921442675,2
2025-03-19,41,-0.07226496591374598,2
2025-03-19,43,-0.0045869715193778875,3
2025-03-19,46,-3.5413082741797552e-06,1
2025-03-19,48,-0.17671915810371452,27
2025-03-19,49,-0.06212246037709216,3
2025-03-19,50,0.6664897028454347,3
2025-03-19,51,-2.4832207628833203e-05,1
2025-05-07,0,0.06585260781743774,10
2025-05-07,1,-0.38875606611452346,8
2025-05-07,2,0.37421955833444365,9
2025-05-07,3,0.0480733175990243,6
2025-05-07,4,-0.1962474309355626,9
2025-05-07,5,-0.32010554243803807,3
2025-05-07,6,0.33774489776023603,6
2025-05-07,7,0.19811133272129267,10
2025-05-07,8,0.18678063722012225,5
2025-05-07,9,0.3334301944723978,3
2025-05-07,10,-0.04041583840822227,4
2025-05-07,12,0.0038603930522072005,4
2025-05-07,13,-9.038118741955259e-05,1
2025-05-07,14,0.026029173284769058,1
2025-05-07,15,-0.025080075879973913,7
2025-05-07,16,-0.00013374307740576796,2
